Abarca Vargas, Roberto Antonio sustentante   Clinica de gineco-obstetricia /   [1960?]
Abascal Zamora, José María sustentante   Fusion de sociedades anonimas en el Derecho mexicano /   1960
Acedo Valenzuela, Hector sustentante   Actos nulos : sus efectos /   1960
Aceituno Martinez, Roberto sustentante   Algunas consideraciones sobre laboratorio en la construccion de aparatos dentoproteticos totales /   1960
Acevedo Tena, Fabiola sustentante   Material de obturacion /   1960
Acoltzi Castillo, Austreberto sustentante   Templabilidad ensayo Jominy a cinco aceros para herramientas /   1960
Acosta Cervantes, Felipe sustentante   Caducidad de la instancia en materia civil /   1960
Acosta Olivas, Reynaldo sustentante   Arrendamiento de bienes inmuebles destinados a habitacion /   1960
Acosta Rebolledo, Juan sustentante   Estudio contable de las fluctuaciones de los valores economicos /   [1960?]
Acosta Viderique, Margarita sustentante   Blanqueo de pulpa mecanica con peroxido de hidrogeno a elevada consistencia /   1960
Acuña Morales, Roberto Luis sustentante   Instrumentacion y control automatico de la planta de destilacion primaria de la Refineria "Madero Tamaulipas" /   1960
Agraz Guerena, José Remigio sustentante   Mercados Municipales en Hermosillo Sonora /   1960
Aguilar Campuzano, Carlos sustentante   El contrato de sociedad conyugal /   1960
Aguilar Labastida, Alfredo sustentante   Diseno de una planta para produccion de naftenatos metalicos /   1960
Aguilar Perez, Victor Javier sustentante   Determinacion de la eficiencia de extraccion en una unidad de absorcion de hidrocarburos /   1960
Aguilar Trujillo, Francisco sustentante   La cesion de derechos como contrato tipo /   1960
Aguilera Marquez, Enrique sustentante   Programa de trabajo para la reestructuracion administrativa y contable en una industria de tipo medio /   1960
Aguirre Harris Rivera, Yolanda sustentante   Estudio Socioeconomico de cuatro Sectores de ciegos en el Distrito Federal /   1960
Ainslie Palencia, Enrique sustentante   El delito de lenocinio /   1960
Alanis Olmedo, Jorge sustentante   El análisis de los estados financieros basicos para fines de concesion de credito /   1960
Alarcon Vazquez, Oscar sustentante   Proyecto, especificaciones de construccion y prueba del tablero duplex de la subestacion de Hermosillo, Son. /   1960
Alatorre Morones, Francisco Javier sustentante   Los impuestos a la mineria y sus repercusiones /   1960
Alazraki Taranto, Manuel sustentante   Proyecto, calculo y estudio economico de la instalacion electrica para un centro comercial /   1960
Albarran Wario, Gerardo sustentante   La libertad de expresion y la legislacion administrativa /   1960
Albert Palacios, Lilia America sustentante   Sintesis de esteroides nitrogenados /   1960
Albert Ruiz, Concepcion sustentante   Identificacion de algunas enzimas del metabolismo de carbohidratos en un cultivo microbiano /   1960
Alcaraz Valencia, Jaime sustentante   Resoluciones de la Suprema Corte de Justicia de la Nacion en materia de expropiacion /   1960
Alcocer Castro, Carlos sustentante   Determinacion de demandas de riego /   1960
Alejandre Cearsolo, Iciar sustentante   El valor de la determinacion de las transaminasas en las hepatitis virales para conocer el estado evolutivo de dichos padecimientos /   1960
Alessandrini Robles, Carlos sustentante   Estudio de los costos, presupuestos y organizacion en una fabrica de cajas de carton corrugado /   1960
Alfaro Aveleyra, Fernando sustentante   Seminario mayor y centro de difusion cultural /   1960
Almada de Ascencio, Margarita sustentante   Comportamiento polarografico de los productos de oxidacion catalitica del naftaleno /   1960
Almirudis Salazar, Hector sustentante   Organizacion Contable del Departamento Comercial de una Union de Credito Agricola /   1960
Alonso Espinosa, Hector sustentante   La energia geotermica en Mexico /   1960
Alonso Gomez, Gitta sustentante   La solidaridad en el Continente Americano /   1960
Alonso Rodriguez, Santiago sustentante   Tratamiento para decolorar las aguas de desecho de una fabrica de papel /   1960
